Mods count: 360
 
                                             jar name                                               |    notes     |                      mod id                      |                                   mod name                                   |         mod version         |                                                                                                                                                                                                   mixin configs                                                                                                                                                                                                   |              modrinth hash               | curseforge hash
CerbonsAPI-NeoForge-1.21-1.3.0.jar                                                                  |              | cerbons_api                                      | Cerbons API                                                                  | 1.3.0                       | cerbons_api.mixins.json, cerbons_api-common.mixins.json                                                                                                                                                                                                                                                                                                                                                           | 3f0d3eed4633d9ef3a713de4b39ee4e683aa9389 | 4001344475     
chatbubbles-1.1.0.jar                                                                               |              | chatbubbles                                      | ChatBubbles                                                                  | 1.1.0                       | chatbubbles.mixins.json                                                                                                                                                                                                                                                                                                                                                                                           | 25bbcc195fad76b2d6da3338b9d20358553bd144 | 3211572793     
chatcalc-1.0.0-1.21.1.jar                                                                           |              | chatcalc                                         | ChatCalc NeoForge                                                            | 1.0.0                       | chatcalc.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | 2c4441a73fb8fcd5a613d6b53a464c9464ae5b44 | 1054893174     
cherishedworlds-neoforge-10.1.1+1.21.1.jar                                                          |              | cherishedworlds                                  | Cherished Worlds                                                             | 10.1.1+1.21.1               | cherishedworlds.mixins.json                                                                                                                                                                                                                                                                                                                                                                                       | aefc8c79ba62606a71f509a9b3c881f3fc4cad5c | 4116184642     
chipped-neoforge-1.21.1-4.0.2.jar                                                                   |              | chipped                                          | Chipped                                                                      | 4.0.2                       | chipped-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        | 6f5395f58139802edfde7cb9170279f92f291971 | 527531260      
Chunky-NeoForge-1.4.23.jar                                                                          |              | chunky                                           | Chunky                                                                       | 1.4.23                      |                                                                                                                                                                                                                                                                                                                                                                                                                   | ab0c74743a653020fe2dfc4986b43e893947f3e9 | 233801764      
ClimateRivers-v21.1.3-1.21.1-NeoForge.jar                                                           |              | climaterivers                                    | Climate Rivers                                                               | 21.1.3                      | climaterivers.neoforge.mixins.json, climaterivers.common.mixins.json                                                                                                                                                                                                                                                                                                                                              | 6df9f2ee359a46de5c0baa29b426c541e06f50bd | 3472029348     
cloth-config-15.0.140-neoforge.jar                                                                  |              | cloth_config                                     | Cloth Config v15 API                                                         | 15.0.140                    |                                                                                                                                                                                                                                                                                                                                                                                                                   | c3e5733ba4503b102589a026000fd5ce0212f6f2 | 1440957232     
collective-1.21.1-8.39.jar                                                                          |              | collective                                       | Collective                                                                   | 8.39                        | collective_fabric.crop.mixins.json, collective_fabric.mixins.json, collective_neoforge.mixins.json, collective_forge.mixins.json                                                                                                                                                                                                                                                                                  | b1153f03c97bccaa6bc11d6199f07f16ef4318ff | 1175409389     
ConfigManager-neoforge-1.21.x-1.0.1.jar                                                             |              | config_manager                                   | Config Manager                                                               | 1.0.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 4d9071cbb997b28c81215e16cf70eb430276f5d3 | 2315506667     
    /META-INF/jarjar/config_manager-neoforge.jar                                                    |              | config_manager                                   | Config Manager                                                               | 1.0.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
configured-neoforge-1.21.1-2.6.3.jar                                                                |              | configured                                       | Configured                                                                   | 2.6.3                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | e977d86eec39d49295df4e2c4265d6710ae065e8 | 1001771497     
ConfiguredDefaults-v21.1.3-1.21.1-NeoForge.jar                                                      |              | configureddefaults                               | Configured Defaults                                                          | 21.1.3                      | configureddefaults.neoforge.mixins.json, configureddefaults.common.mixins.json                                                                                                                                                                                                                                                                                                                                    | 64c6ae1cb0cb37b976bbd0afb2551beae61bcdaa | 2016907798     
confluence_music-1.2.4.1-260428.jar                                                                 |              | confluence_music                                 | ConfluenceMusic                                                              | **.**.**.**                     |                                                                                                                                                                                                                                                                                                                                                                                                                   | 8ab8f4a7e1e09dfe94b7b9b843200b6192011e23 | 110619299      
confluencegunanimationfix-1.5.0.jar                                                                 |              | confluencegunanimationfix                        | Confluence Gun Animation Fix                                                 | 1.5.0                       | confluencegunanimationfix.mixins.json                                                                                                                                                                                                                                                                                                                                                                             | 17a02e38d39a7c2566e75d1f06338d2e6da49697 | 806519052      
ConfluenceOtherworld-1.2.4-260226.jar                                                               |              | confluence                                       | Confluence                                                                   | 1.2.4                       | confluence.mixins.json, confluence.integration.lithium.mixins.json                                                                                                                                                                                                                                                                                                                                                | aef3518f039be2e9623b3fd731a9bf0f032d40a9 | 2376956751     
    /META-INF/jarjar/geckolib-neoforge-1.21.1-4.8.2.jar                                             |              | geckolib                                         | GeckoLib 4                                                                   | 4.8.2                       | geckolib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              |                                          |                
    /META-INF/jarjar/nowebsite.makertechno.the_trackers.the_trackers-1.21.1-0.2.5.jar               |              | the_trackers                                     | The Trackers                                                                 | 1.21.1-0.2.5                |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/org.confluence.lib.confluence_magic_lib-0.0.8.jar                              |              | confluence_magic_lib                             | Confluence Magic Lib                                                         | 0.0.8                       | confluence_magic_lib.mixins.json                                                                                                                                                                                                                                                                                                                                                                                  |                                          |                
    /META-INF/jarjar/org.confluence.terra_curio-1.2.0.jar                                           |              | terra_curio                                      | TerraCurio                                                                   | 1.2.0                       | terra_curio.mixins.json                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
    /META-INF/jarjar/org.confluence.terra_entity-1.2.1.jar                                          |              | terra_entity                                     | Terra Entity                                                                 | 1.2.1                       | terra_entity.mixins.json                                                                                                                                                                                                                                                                                                                                                                                          |                                          |                
        /META-INF/jarjar/commons-math3-3.6.1.jar                                                    |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/org.confluence.terra_furniture.terra_furniture-1.21.1-0.0.5.jar                |              | terra_furniture                                  | Terra Furniture                                                              | 1.21.1-0.0.5                |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/org.confluence.terra_guns-1.21.1-1.0.jar                                       |              | terra_guns                                       | TerraGuns                                                                    | 1.0                         | terra_guns.mixins.json                                                                                                                                                                                                                                                                                                                                                                                            |                                          |                
    /META-INF/jarjar/ParticleStorm-1.1.4.3.jar                                                      |              | particlestorm                                    | ParticleStorm                                                                | **.**.**.**                     | particlestorm.mixins.json                                                                                                                                                                                                                                                                                                                                                                                         |                                          |                
    /META-INF/jarjar/TerraBlender-neoforge-1.21.1-4.1.0.8.jar                                       |              | terrablender                                     | TerraBlender                                                                 | **.**.**.**                     | terrablender_neoforge.mixins.json, terrablender.mixins.json                                                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/ThreeDimensionParticle-core-1.0.5.jar                                          |              | thr_dim_particle                                 | Three Dimension Particle                                                     | 1.0.5                       | thr_dim_particle.mixins.json, thr_dim_particle.sodium_loaded.mixins.json                                                                                                                                                                                                                                                                                                                                          |                                          |                
confluencerechiseled-1.0.0.jar                                                                      |              | confluencerechiseled                             | Confluence: Rechiseled                                                       | 1.0.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | aff9cd5e0234be3ac771ccd5590ad0b88b83cb19 | 4050271010     
coolrain-1.21.1-NeoForge-1.0.1.jar                                                                  |              | coolrain                                         | Cool Rain                                                                    | 1.0.1                       | coolrain.mixins.json                                                                                                                                                                                                                                                                                                                                                                                              | a15df749534b7b2003282ffb5950dcf3767d1243 | 877469651      
copycats-3.0.4+mc.1.21.1-neoforge.jar                                                               |              | copycats                                         | Create: Copycats+                                                            | 3.0.4+mc.1.21.1-neoforge    | copycats-common.mixins.json, copycats-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                        | 6a11d5806bcf521e08faba1ee6ef5f31af55ca0f | 3112677890     
Corgilib-NeoForge-1.21.1-5.0.0.9.jar                                                                |              | corgilib                                         | CorgiLib                                                                     | **.**.**.**                     | corgilib-common.mixins.json                                                                                                                                                                                                                                                                                                                                                                                       | 6699f876f9e10f936910055f7fe1a283d8bb9e0f | 3007081080     
crafting_accessory-1.0.0.jar                                                                        |              | crafting_accessory                               | Crafting Table Accessory                                                     | 1.0.0                       | crafting_accessory.mixins.json                                                                                                                                                                                                                                                                                                                                                                                    | b497ce47342c8a0249fd3aac3f66e44881456729 | 45659176       
CrashAssistant-neoforge-1.20.6-1.21.4-1.11.12.jar                                                   |              | crash_assistant                                  | Crash Assistant                                                              | 1.11.12                     | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                 | ec9e35065ce3a49ecec6bd6ff7fec6992476f7bb | 815653576      
    /META-INF/jarjar/app.jar                                                                        |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
    /META-INF/jarjar/crash_assistant-neoforge.jar                                                   |              | crash_assistant                                  | Crash Assistant                                                              | 1.11.12                     | crash_assistant.mixins.json, crash_assistant.neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                                 |                                          |                
Create Encased-1.21.1-1.9.0-ht3.jar                                                                 |              | createcasing                                     | Create Encased                                                               | 1.9.0-ht3                   | createcasing.mixins.json                                                                                                                                                                                                                                                                                                                                                                                          | bc749c8ec3ad4fef7d5a052c904008971158f274 | 757105229      
create-1.21.1-6.0.10.jar                                                                            |              | create                                           | Create                                                                       | 6.0.10                      | create.mixins.json                                                                                                                                                                                                                                                                                                                                                                                                | 0e97e49837bed766e6f28a4c95b04885d6acc353 | 522093599      
    /META-INF/jarjar/flywheel-neoforge-1.21.1-1.0.6.jar                                             |              | flywheel                                         | Flywheel                                                                     | 1.0.6                       | flywheel.impl.mixins.json, flywheel.impl.neoforge.mixins.json, flywheel.backend.mixins.json                                                                                                                                                                                                                                                                                                                       |                                          |                
    /META-INF/jarjar/ponder-neoforge-1.0.82+mc1.21.1.jar                                            |              | ponder                                           | Ponder                                                                       | 1.0.82+mc1.21.1             | ponder-common.mixins.json, ponder.mixins.json                                                                                                                                                                                                                                                                                                                                                                     |                                          |                
    /META-INF/jarjar/Registrate-MC1.21-1.3.0+67.jar                                                 |              |                                                  |                                                                              |                             |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
create-dyn-light-forge-1.21.1-2.0.1.jar                                                             |              | createdynlight                                   | Create Dynamic Light                                                         | 2.0.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 38ca94bda8ddcb8d75152ad9d4108283316f81ac | 3472648767     
create-lights-and-controls-1.21.1-2.2.1.jar                                                         |              | create_lac                                       | Create: Lights & Controls                                                    | 2.2.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | c36c2fd2210879db1b2ee7cb0939fa0b9570a69b | 3872018916     
create-more-girder-2.3.0-neo.jar                                                                    |              | createmoregirder                                 | Create: More Girder                                                          | 2.3.0                       | createmoregirder.mixins.json                                                                                                                                                                                                                                                                                                                                                                                      | 32a50bbb067b1d757d2475eb8e92810318ccc3db | 3930774524     
create-new-age-1.2.0+neoforge-mc1.21.1.jar                                                          |              | create_new_age                                   | Create: New Age                                                              | 1.2.0+mc1.21.1              | create_new_age-common.mixins.json, create_new_age-neoforge.mixins.json                                                                                                                                                                                                                                                                                                                                            | 849df57070ffa75c2446b9c460d03f6b49fa089e | 631634708      
    /META-INF/jars/esl-neoforge-1.21.1-1.0.3+neoforge-mc1.21.1.jar                                  |              | esl                                              | ESL                                                                          | 1.0.3                       | esl-neoforge.mixin.json                                                                                                                                                                                                                                                                                                                                                                                           |                                          |                
create-renewable-netherite-2.0.1.jar                                                                |              | mr_create_renewablenetherite                     | Create: Renewable Netherite                                                  | 2.0.1                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | b7894ab76bcb28768af3c8277c6384992884170e | 1079200903     
create-wrencheable-planes-2.0.jar                                                                   |              | mr_create_wrencheableplanes                      | Create: Wrencheable Planes                                                   | 2.0                         |                                                                                                                                                                                                                                                                                                                                                                                                                   | 98ec519e81ae201994864a7416a2b49efc1dc4ab | 2741438709     
create_break_it_all_2.0.0.jar                                                                       |              | cr_bia                                           | Create: Break It All                                                         | 2.0.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | ca8b203df241a69ca969d86a3c6638e6d850227e | 1459850884     
create_connected-1.3.2-mc1.21.1.jar                                                                 |              | create_connected                                 | Create: Connected                                                            | 1.3.2-mc1.21.1              | create_connected.mixins.json                                                                                                                                                                                                                                                                                                                                                                                      | 920de05b13c32fe1417d0aec0615057aa480cc8d | 605663894      
    /META-INF/jarjar/sable-companion-common-1.21.1-1.6.0.jar                                        |              | sablecompanion                                   | Sable Companion                                                              | 1.6.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   |                                          |                
create_continuum-1.0.0-1.21.1-neoforge.jar                                                          | MCreator mod | create_continuum                                 | Create: Continuum (Vanilla Backport Integration)                             | 1.0.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 3c8f673f522575295335767d021102dcf15f2f5f | 535558042      
create_copper_and_zinc-2.0.0-neoforge-1.21.1.jar                                                    |              | create_copper_and_zinc                           | Create: Copper and Zinc                                                      | 2.0.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | de1f363ef0ec8aeb6a9dedc1f3d8b3e224400895 | 430897864      
create_ergonomic-1211-6.0.9-0.5.1-neoforge.jar                                                      |              | create_ergonomic                                 | Create: Ergonomic                                                            | 0.5.1                       | create_ergonomic.mixins.json                                                                                                                                                                                                                                                                                                                                                                                      | db62326b316056ef082e8873a8a28769d3a1a4c1 | 790282697      
create_heat_js-1.21.1-0.0.6.jar                                                                     |              | create_heat_js                                   | CreateHeatJS                                                                 | 1.21.1-0.0.6                | create_heat_js.mixins.json                                                                                                                                                                                                                                                                                                                                                                                        | 3e110ef939658623971e768759ec7d12f9980dba | 2591049696     
create_jetpack_curios-1.2.0-neoforge-1.21.1.jar                                                     |              | create_jetpack_curios                            | Create: Jetpack Curios                                                       | 1.2.0                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 5146fc22a9385de8103b5ca0151f80dcd0f03978 | 3773115398     
create_maintenance_control-1.2.0-mc1.21.1.jar                                                       |              | create_maintenance_control                       | Create: Maintenance Control                                                  | 1.2.0-mc1.21.1              | create_maintenance_control.mixins.json                                                                                                                                                                                                                                                                                                                                                                            | 52bca8c2565043af1d1679595c9585728c4b6487 | 1104831561     
create_mixed_casing-1.21.1-1.1.1.jar                                                                |              | create_mixed_casing                              | Create: Mixed Casing                                                         | 1.1.1                       | create_mixed_casing.mixins.json                                                                                                                                                                                                                                                                                                                                                                                   | 3eb6a839d3fc192f17f465065a07a4263d1944f5 | 3275328680     
create_multiplanar_crafters-mc1.21.1-0.4.17.jar                                                     |              | create_multiplanar_crafters                      | Create: Multiplanar Crafters                                                 | 0.4.17                      | create_multiplanar_crafters.mixins.json                                                                                                                                                                                                                                                                                                                                                                           | 3d31538f989ec00794d6f10ffefa0c41388ee16b | 3928879026     
create_processing-1.0.1.jar                                                                         |              | create_processing                                | Create: Processing                                                           | 1.0.1                       | create_processing.mixins.json                                                                                                                                                                                                                                                                                                                                                                                     | 487a0d37248566487750da1109f74c21d33da8ad | 4209863002     
create_storage_terminal-neoforge-1.21.1-0.1.3.jar                                                   |              | create_storage_terminal                          | Create: Storage Terminal                                                     | 0.1.3                       |                                                                                                                                                                                                                                                                                                                                                                                                                   | 6a6d761bf0c2b01ebfe133701b50ff552fe0d560 | 118649711      
createbetterfps-1.21.1-1.1.4.jar                                                                    |              | createbetterfps                                  | CreateBetterFps                                                              | 1.1.4                       | createbetterfps.mixins.json                                                                                                                                                                                                                                                                                                                                                                                       | c594e20659b73a67bd0b0c2de45b29b78a2eb160 | 2332909618     
